run_id,timestamp,symbol,strategy,side,mode,event,entry_exit,stop,size,signal_price,intended_price,fill_price,slippage,spread_cost,execution_cost,pnl,r_multiple,session_bucket,client_order_id,order_status,filled_qty,remaining_qty,rejection_reason,notes
,2026-04-21T17:30:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,425.651475,2.3578,423.75,423.75,425.440108,0.400364,0.800728,1.201092,-4.38,-0.9,midday,,,2.3578,0.0,,entry=423.5805
,2026-04-21T20:10:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,426.934675,1.602,423.83,423.83,425.780244,0.272161,0.544321,0.816482,-3.4,-0.65,close,,,1.602,0.0,,entry=423.660468
,2026-04-22T14:40:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,429.30405,2.2995,431.12,431.12,429.887976,0.396057,0.792113,1.18817,-3.23,-0.71,open,,,2.2995,0.0,,entry=431.292448
,2026-04-22T20:10:00+00:00,MSFT,momentum,buy,backtest,stop_loss,round_trip,431.533463,2.2811,433.17,433.17,431.360849,0.394495,0.78899,1.183485,-4.52,-1.1,close,,,2.2811,0.0,,entry=433.343268
,2026-04-23T14:20:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,420.438475,1.6186,417.4,417.4,419.6678,0.270921,0.541843,0.812764,-3.94,-0.76,open,,,1.6186,0.0,,entry=417.23304
,2026-04-23T17:40:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,417.4009,2.3557,415.86,415.86,412.44408,0.293045,0.58609,0.879134,5.84,1.45,midday,,,2.3557,0.0,,entry=415.693656
,2026-04-23T17:50:00+00:00,MSFT,momentum,sell,backtest,stop_loss,round_trip,414.328238,2.1628,412.05,412.05,414.493969,0.357458,0.714916,1.072375,-5.64,-1.07,midday,,,2.1628,0.0,,entry=411.88518
,2026-04-24T13:55:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,418.41135,1.571,421.53,421.53,419.487138,0.2643,0.528601,0.792901,-3.47,-0.67,open,,,1.571,0.0,,entry=421.698612
,2026-04-24T20:30:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,420.810338,2.3118,422.34,422.34,423.840396,0.293296,0.586592,0.879887,3.5,0.89,close,,,2.3118,0.0,,entry=422.508936
,2026-04-29T12:45:00+00:00,MSFT,momentum,buy,backtest,stop_loss,round_trip,427.74795,2.2826,429.28,429.28,427.576851,0.39125,0.782501,1.173751,-4.28,-1.1,close,,,2.2826,0.0,,entry=429.451712
,2026-04-29T13:50:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,427.155225,1.0162,422.355,422.355,426.735626,0.172535,0.345069,0.517604,-4.62,-0.92,open,,,1.0162,0.0,,entry=422.186058
,2026-04-29T19:30:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,422.291625,2.1984,424.5,424.5,423.960348,0.373126,0.746251,1.119377,-1.56,-0.3,close,,,2.1984,0.0,,entry=424.6698
,2026-04-30T14:05:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,411.360837,1.5993,408.33,408.33,401.93904,0.194869,0.389738,0.584607,7.53,1.47,open,,,1.5993,0.0,,entry=408.166668
,2026-04-30T14:40:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,405.300725,1.2443,401.375,401.375,404.181608,0.200431,0.400861,0.601292,-3.69,-0.73,open,,,1.2443,0.0,,entry=401.21445
,2026-04-30T17:10:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,402.258137,2.0549,399.89,399.89,400.430108,0.32885,0.6577,0.986549,-1.44,-0.28,midday,,,2.0549,0.0,,entry=399.730044
,2026-04-30T19:55:00+00:00,MSFT,momentum,buy,backtest,target_or_structure,round_trip,407.588475,1.9194,410.12,410.12,407.601894,0.31397,0.627939,0.941909,-5.15,-1.0,close,,,1.9194,0.0,,entry=410.284048
,2026-05-01T19:50:00+00:00,MSFT,momentum,buy,backtest,stop_loss,round_trip,414.845288,2.319,416.85,416.85,414.679349,0.38574,0.771481,1.157221,-5.42,-1.08,close,,,2.319,0.0,,entry=417.01674
,2026-05-04T19:55:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,414.483625,2.3295,412.635,412.635,413.800454,0.384959,0.769918,1.154878,-3.1,-0.66,close,,,2.3295,0.0,,entry=412.469946
,2026-05-05T15:00:00+00:00,MSFT,momentum,sell,backtest,target_or_structure,round_trip,413.1904,1.8144,410.55,410.55,411.259438,0.298159,0.596317,0.894476,-1.59,-0.31,open,,,1.8144,0.0,,entry=410.38578
,2026-04-06T17:20:00+00:00,NVDA,momentum,sell,backtest,target_or_structure,round_trip,177.242,5.0505,176.295,176.295,176.990768,0.356782,0.713565,1.070347,-3.87,-0.75,midday,,,5.0505,0.0,,entry=176.224482
,2026-04-07T12:15:00+00:00,NVDA,momentum,buy,backtest,stop_loss,round_trip,176.786925,5.3645,177.59,177.59,176.71621,0.380211,0.760422,1.140633,-5.07,-1.08,close,,,5.3645,0.0,,entry=177.661036
,2026-04-08T12:05:00+00:00,NVDA,momentum,buy,backtest,target_or_structure,round_trip,175.170975,3.3627,176.58,176.58,179.538102,0.179156,0.358313,0.537469,7.34,1.48,close,,,3.3627,0.0,,entry=176.650632
,2026-04-09T13:40:00+00:00,NVDA,momentum,sell,backtest,target_or_structure,round_trip,182.605375,2.6448,180.8,180.8,181.942748,0.191838,0.383676,0.575514,-3.21,-0.65,open,,,2.6448,0.0,,entry=180.72768
,2026-04-09T15:25:00+00:00,NVDA,momentum,buy,backtest,stop_loss,round_trip,182.811825,5.1883,183.44,183.44,182.7387,0.380045,0.76009,1.140135,-4.02,-1.1,midday,,,5.1883,0.0,,entry=183.513376
,2026-04-09T20:00:00+00:00,NVDA,momentum,buy,backtest,target_or_structure,round_trip,183.1809,5.1527,183.93,183.93,183.636516,0.378868,0.757735,1.136603,-1.89,-0.45,close,,,5.1527,0.0,,entry=184.003572
,2026-04-10T15:20:00+00:00,NVDA,momentum,buy,backtest,target_or_structure,round_trip,183.6996,2.3641,185.7,185.7,189.804048,0.13269,0.265381,0.398071,7.22,1.47,open,,,2.3641,0.0,,entry=185.77428
,2026-04-10T19:30:00+00:00,NVDA,momentum,buy,backtest,target_or_structure,round_trip,188.2881,5.0392,189.13,189.13,189.04935,0.381221,0.762441,1.143662,-0.79,-0.17,close,,,5.0392,0.0,,entry=189.205652
